Optimizer,Split,Horizon,MSE,RMSE,MAE,R2,Pearson,Variance,StdDev,TargetVariance,TargetStdDev,D_latent,H_cell,CDI,SDI,TrainTimeSec,FinalTrainLoss,Fold_N_TOP_GENES,Fold_GENE_EMB_DIM,MSE_std,RMSE_std,MAE_std,R2_std,Pearson_std,Variance_std,StdDev_std,TargetVariance_std,TargetStdDev_std,D_latent_std,H_cell_std,CDI_std,SDI_std,Fold_N_TOP_GENES_std,Fold_GENE_EMB_DIM_std
ASGDAdam,Test,1,0.04254305802760463,0.18236821830214792,0.13300336114331787,0.7896277422530978,0.9009228280068519,0.040793920576791556,0.17897583248568516,0.5407477617263794,0.7350823879241943,11.428422927856445,0.7468016709626448,2.711395597457886,0.9847746640238474,19.898244428634644,0.011408528799048238,2000.0,500.0,0.10050137030057125,0.09637703846393339,0.06673349142237403,0.07851666232382373,0.03677354393406859,0.09517369132957446,0.09362162732973674,0.029688846581597306,0.020045188738732782,0.34928021650480623,0.047449834463680174,0.0956220469967841,0.016216260359934405,0.0,0.0
ASGDAdam,Test,3,0.5423769617986446,0.5810364568477144,0.4598842122624902,-0.9673068222111346,0.05275003145957826,0.48967137209925,0.5532872296782101,0.5403941631317138,0.7348421692848206,11.400789070129395,0.7478766051588145,2.70888237953186,1.6426004760611175,29.747740173339842,0.014015380014202302,2000.0,500.0,2.451524992328992,0.4526079235806467,0.36742348324880886,0.7745333690434061,0.31065871887005514,2.241318426598073,0.42850509893137373,0.029674885389086286,0.020032413434670687,0.3555378108393542,0.04537093524093525,0.09640478436820404,0.02566794298208789,0.0,0.0
ASGDAdam,Test,5,0.17199208954750908,0.3422653236127978,0.2605049094090275,0.25130986050063486,0.6935402883513081,0.15813841301363474,0.32916018282081566,0.5393337488174439,0.7341180324554444,11.351876831054687,0.75108829782592,2.7035522937774656,2.093549273000036,41.09551954269409,0.018341039462499254,2000.0,500.0,0.5985082413774946,0.23423931071433265,0.18186512466284843,0.38474837367373205,0.14035261888634712,0.5382827365929963,0.22318494816997808,0.029826592502096804,0.02011489475907584,0.3930696044769699,0.04685926767456441,0.10180434659554573,0.03279577219754002,0.0,0.0
ASGDAdam,Test,10,0.07847518730543408,0.2407973478688245,0.17773447877051785,0.6058017666199628,0.8549261647241815,0.0716026063913516,0.23079875705288905,0.5363615989685059,0.7320785522460938,11.241281509399414,0.7460698984985792,2.6761375427246095,2.8988949485930715,72.39113020896912,0.022556397554415557,2000.0,500.0,0.2098418345142429,0.14317773474608497,0.10408751661328348,0.26927936296818594,0.0711503504688202,0.19375674879966198,0.13543165353348438,0.030492070453443515,0.020561401435772574,0.5064771698892866,0.04292389742562354,0.13449528933984464,0.057749120469796106,0.0,0.0
ASGDAdam,Test,20,0.27795442677157767,0.4378793354667164,0.33905829428457746,-0.4119152028420392,0.5743992215313325,0.2099095817238969,0.383366254065551,0.543481421470642,0.7369131326675415,11.174761962890624,0.7424740657596137,2.5979073524475096,4.0003742844331915,134.6825945854187,0.05417954355426828,2000.0,500.0,0.9203429452955175,0.2936833972968898,0.2374677521673766,1.319882188935064,0.2736687955698199,0.7538385091342437,0.25092745725268883,0.031002722118428024,0.02099124757800345,0.519665833343508,0.038143143473307155,0.25270030374787056,0.1566965249138064,0.0,0.0
ASGDAdam,Train,1,0.011238056589831033,0.10151113012676936,0.08049797079288493,0.9431800102018842,0.9716503061379936,0.01102480923592606,0.10060871819070741,0.6794537305831909,0.8240599870681763,12.406536293029784,0.6991711780900554,2.244592046737671,0.940996919383952,19.898244428634644,0.011408528799048238,2000.0,500.0,0.012417014761747027,0.030559994939844057,0.024070848137335954,0.023922890298780926,0.01216918587742578,0.012047895050726891,0.03005077723541333,0.03242059724781289,0.019467741975663973,0.34024541360232263,0.036702248823196525,0.10509608604551662,0.015687224379458086,0.0,0.0
ASGDAdam,Train,3,0.6131500580293291,0.6257589604765945,0.4905207400286899,-0.8465486127021266,0.06866236058631381,0.5574695791815426,0.596958923293095,0.6794238686561584,0.8240414023399353,12.386098861694336,0.695049620767498,2.2465583801269533,1.5541519922052103,29.747740173339842,0.014015380014202302,2000.0,500.0,2.540641961842077,0.47081069227952305,0.3763041643493791,0.6918066238668549,0.2977503568082574,2.342761276149525,0.44854043309893404,0.03245594747617435,0.01948795262175583,0.3535943394922322,0.03829488283147328,0.10535529953139382,0.026527285247525467,0.0,0.0
ASGDAdam,Train,5,0.18156094275926257,0.35108976753034493,0.2667100870141796,0.36995174400946673,0.720957181466355,0.16863104272633792,0.3390505869073026,0.6787854194641113,0.8236500501632691,12.351196479797363,0.7000959935904868,2.2458961486816404,1.978461833260289,41.09551954269409,0.018341039462499254,2000.0,500.0,0.642908079818062,0.2414949034659031,0.18745937556805195,0.31433614351194733,0.13197901971951612,0.5937471322276984,0.23172570006880014,0.03272175027063927,0.019651446842301593,0.38361200082008645,0.03770945792363914,0.10564042132955552,0.030688241163809405,0.0,0.0
ASGDAdam,Train,10,0.058922610301889625,0.214600541024489,0.1631026402846271,0.7430350726258521,0.9014535097138369,0.0523438241668776,0.20364620583898882,0.6758492827415467,0.8218366622924804,12.245611000061036,0.6949156828438866,2.238765335083008,2.7396227750502575,72.39113020896912,0.022556397554415557,2000.0,500.0,0.13044145793343087,0.11346482638234129,0.085885197680842,0.1916815636634041,0.04736569866604756,0.11591613549473975,0.10428956046425181,0.034622223907567994,0.020831823544498803,0.504614939345933,0.038407992423074945,0.10602468612206743,0.042756646791068595,0.0,0.0
ASGDAdam,Train,20,0.30478343954638526,0.45823032929277413,0.3533130683034074,-0.2534825104124406,0.586037664318923,0.2405890121186773,0.40687687339151607,0.6778172373771667,0.823058259487152,12.156589698791503,0.6931263532231069,2.2147363662719726,3.8047104093970328,134.6825945854187,0.05417954355426828,2000.0,500.0,1.079146497642131,0.3079701271475112,0.2474988873310401,1.181533687473912,0.28070044274569134,0.948618918614206,0.27398843146301566,0.03298463164061772,0.019811543901232007,0.5863969442076878,0.036038508783487126,0.12181374547744303,0.08939120410851786,0.0,0.0
